matja,T_s
1,2.249792044e-03
2,2.214959008e-03
3,2.222083975e-03
4,2.211416024e-03
5,2.215125016e-03
6,2.265958989e-03
7,2.213582979e-03
8,2.240291971e-03
9,2.244208008e-03
10,2.239833004e-03
11,2.266666037e-03
12,2.236959001e-03
13,2.263416012e-03
14,2.231624967e-03
15,2.249165962e-03
16,2.241958980e-03
17,2.237874956e-03
18,2.268291020e-03
19,2.241667011e-03
20,2.238541027e-03
21,2.657250036e-03
22,2.418415970e-03
23,6.577791995e-03
24,4.386166984e-03
25,2.278083994e-03
26,2.259208006e-03
27,2.241917013e-03
28,2.425874991e-03
29,6.357792008e-03
30,4.538916983e-03
31,2.234000014e-03
32,4.282958980e-03
33,6.356332975e-03
34,6.215707981e-03
35,2.237542009e-03
36,2.239916008e-03
37,2.236957953e-03
38,2.233334002e-03
39,2.234957996e-03
40,2.262374968e-03
41,2.240208967e-03
42,2.236165979e-03
43,2.240208967e-03
44,2.240875037e-03
45,2.233917010e-03
46,2.216417051e-03
47,2.104208048e-03
48,2.042874985e-03
49,2.079333004e-03
50,2.099750040e-03
51,2.103624982e-03
52,2.102790982e-03
53,2.099459001e-03
54,2.097541990e-03
55,2.231540973e-03
56,2.159124997e-03
57,2.126416017e-03
58,2.113208990e-03
59,2.112207992e-03
60,2.198750037e-03
61,2.165666956e-03
62,2.517832967e-03
63,2.226999961e-03
64,2.192208020e-03
65,2.236291999e-03
66,2.362291969e-03
67,2.556666965e-03
68,2.149500011e-03
69,2.074541000e-03
70,2.105541993e-03
71,2.053875010e-03
72,2.061875013e-03
73,2.153124951e-03
74,2.160208998e-03
75,2.233166015e-03
76,2.127791988e-03
77,2.050540992e-03
78,2.262083988e-03
79,2.071833005e-03
80,2.050457988e-03
81,2.087000001e-03
82,2.156333008e-03
83,2.149791981e-03
84,2.125915955e-03
85,2.107459004e-03
86,2.265333023e-03
87,2.083375002e-03
88,2.098041994e-03
89,2.066499961e-03
90,2.098958998e-03
91,2.099416044e-03
92,2.077459008e-03
93,2.063833002e-03
94,2.099167032e-03
95,2.049959032e-03
96,2.051625052e-03
97,2.051417017e-03
98,2.053457953e-03
99,2.053374948e-03
100,2.050959039e-03
101,2.050499956e-03
102,2.217166999e-03
103,2.045666974e-03
104,2.051207994e-03
105,2.092042007e-03
106,2.078166988e-03
107,2.152041998e-03
108,2.119249955e-03
109,2.142209036e-03
110,2.191250038e-03
111,2.045999980e-03
112,2.051125048e-03
113,2.081040991e-03
114,2.115458017e-03
115,2.247500001e-03
116,2.127250016e-03
117,2.087458037e-03
118,2.132416994e-03
119,2.066374989e-03
120,2.050250012e-03
121,2.084582986e-03
122,2.125917003e-03
123,2.065124980e-03
124,2.057166945e-03
125,2.086375025e-03
126,2.223250049e-03
127,2.062083979e-03
128,2.061082982e-03
129,2.084249980e-03
130,2.203499957e-03
131,2.064291970e-03
132,2.052665979e-03
133,2.129583037e-03
134,2.087874978e-03
135,2.106041997e-03
136,2.120416961e-03
137,2.151666966e-03
138,2.152582980e-03
139,2.108874964e-03
140,2.164167003e-03
141,2.276666986e-03
142,2.068583970e-03
143,2.062499989e-03
144,2.080500009e-03
145,2.082250023e-03
146,2.107292006e-03
147,2.050457988e-03
148,2.055208024e-03
149,2.166040998e-03
150,2.082042047e-03
151,2.057959035e-03
152,2.069041017e-03
153,2.079958969e-03
154,2.087582950e-03
155,2.045750036e-03
156,2.048042021e-03
157,2.202541975e-03
158,2.085749991e-03
159,2.065333014e-03
160,2.057457983e-03
