time,latitude,longitude,accuracy
0,41.3275359,19.8187467,12.42
1,41.3276000,19.8186356,12.22
2,41.3274250,19.8186438,12.16
3,41.3275339,19.8187776,12.76
4,41.3274786,19.8186974,12.28
5,41.3275710,19.8187148,12.11
6,41.3275389,19.8188412,12.55
7,41.3275028,19.8186062,12.31
8,41.3275226,19.8186659,12.30
9,41.3274420,19.8188403,12.14
10,41.3274860,19.8185780,12.79
11,41.3274154,19.8187302,13.01
12,41.3276396,19.8186736,12.16
13,41.3275151,19.8185815,12.91
14,41.3276605,19.8186000,12.14
15,41.3276509,19.8186373,12.70
16,41.3275108,19.8187977,12.73
17,41.3275016,19.8187028,12.36
18,41.3274050,19.8188038,12.09
19,41.3274517,19.8187940,12.75
20,41.3275609,19.8187594,12.07
21,41.3275403,19.8187834,12.52
22,41.3275105,19.8186746,12.39
23,41.3275684,19.8186507,12.22
24,41.3275485,19.8187918,12.90
25,41.3275366,19.8188276,12.52
26,41.3274639,19.8186302,12.87
27,41.3274124,19.8187106,12.36
28,41.3275368,19.8188064,12.26
29,41.3276381,19.8186636,12.98
30,41.3274882,19.8190119,12.24
31,41.3275456,19.8186317,12.43
32,41.3274446,19.8187600,12.01
33,41.3275382,19.8186468,12.13
34,41.3275336,19.8189152,12.82
35,41.3274695,19.8186246,12.45
36,41.3274437,19.8187497,12.20
37,41.3275744,19.8186517,12.66
38,41.3275408,19.8187366,12.22
39,41.3274784,19.8186980,12.05
40,41.3275637,19.8185744,12.51
41,41.3274703,19.8187040,13.16
42,41.3275186,19.8187783,12.34
43,41.3275898,19.8188001,12.04
44,41.3274449,19.8188412,12.75
45,41.3274522,19.8186175,12.27
46,41.3275280,19.8187532,12.17
47,41.3275548,19.8186733,12.14
48,41.3276347,19.8187670,12.17
49,41.3276675,19.8186095,12.49
50,41.3274669,19.8187220,12.28
51,41.3276365,19.8186945,12.67
52,41.3274745,19.8186922,12.69
53,41.3274844,19.8187190,12.24
54,41.3274294,19.8185235,12.27
55,41.3275914,19.8186192,12.83
56,41.3275015,19.8188108,12.44
57,41.3274314,19.8188677,12.74
58,41.3274536,19.8186044,12.77
59,41.3274236,19.8187769,12.12
60,41.3275178,19.8187823,12.74
61,41.3275536,19.8187028,12.26
62,41.3274623,19.8188603,12.52
63,41.3275207,19.8188149,12.44
64,41.3274757,19.8185890,12.50
65,41.3274684,19.8188706,12.56
66,41.3274928,19.8187608,12.12
67,41.3275538,19.8188094,12.10
68,41.3275902,19.8187007,12.52
69,41.3275065,19.8187433,12.24
70,41.3275927,19.8187069,12.03
