time,latitude,longitude,accuracy
0,41.3274903,19.8187337,5.43
1,41.3275097,19.8187114,5.33
2,41.3274999,19.8186608,5.14
3,41.3274812,19.8187131,5.10
4,41.3275025,19.8187116,5.71
5,41.3275322,19.8187087,5.23
6,41.3275176,19.8187239,5.56
7,41.3275033,19.8187196,5.05
8,41.3275046,19.8186899,5.50
9,41.3275211,19.8187253,5.31
10,41.3275083,19.8186993,5.44
11,41.3275176,19.8186806,5.52
12,41.3275330,19.8187178,5.10
13,41.3274977,19.8186879,5.16
14,41.3275275,19.8187339,5.17
15,41.3274940,19.8186516,5.03
16,41.3275061,19.8187180,5.18
17,41.3275241,19.8186858,5.30
18,41.3275288,19.8187079,4.97
19,41.3274922,19.8186854,5.13
20,41.3274926,19.8187002,5.74
21,41.3275045,19.8187061,5.24
22,41.3275463,19.8187312,5.79
23,41.3274754,19.8186852,5.38
24,41.3274970,19.8187408,5.29
25,41.3275006,19.8187110,5.05
26,41.3275005,19.8186996,5.47
27,41.3275506,19.8186905,4.97
28,41.3275140,19.8186772,5.62
29,41.3275004,19.8187005,5.41
30,41.3275336,19.8187174,5.09
31,41.3275105,19.8187220,5.41
32,41.3275249,19.8187192,5.02
33,41.3275065,19.8187188,5.22
34,41.3275246,19.8187147,5.23
35,41.3275146,19.8187128,4.91
36,41.3275035,19.8187178,5.26
37,41.3275340,19.8187500,5.44
38,41.3275061,19.8187040,6.01
39,41.3275066,19.8187300,4.97
40,41.3274999,19.8186418,4.93
41,41.3274992,19.8186966,5.87
42,41.3274870,19.8186974,4.98
43,41.3274907,19.8187205,5.45
44,41.3274723,19.8186771,6.03
45,41.3274939,19.8187267,5.01
46,41.3274866,19.8187083,5.07
47,41.3274798,19.8186952,4.91
48,41.3274915,19.8186954,5.02
49,41.3274781,19.8187265,5.03
50,41.3274916,19.8186978,5.57
51,41.3274927,19.8187141,5.45
52,41.3275157,19.8186740,5.11
53,41.3274719,19.8187292,5.34
54,41.3275028,19.8187161,5.55
55,41.3274931,19.8186963,5.78
56,41.3275049,19.8187338,5.00
57,41.3274997,19.8186951,5.32
58,41.3275127,19.8187682,5.89
59,41.3275178,19.8187312,5.00
60,41.3275345,19.8187378,5.24
61,41.3275551,19.8187300,5.05
62,41.3275205,19.8187349,5.46
63,41.3275242,19.8187251,5.16
64,41.3274745,19.8186974,5.01
65,41.3275252,19.8187259,5.57
66,41.3274932,19.8186943,5.51
67,41.3274975,19.8187426,5.31
68,41.3275292,19.8186994,4.95
69,41.3274847,19.8187080,5.18
70,41.3274953,19.8187089,5.03
71,41.3275098,19.8187151,5.48
72,41.3274999,19.8187040,5.18
73,41.3275222,19.8187298,5.14
74,41.3274908,19.8187041,5.52
75,41.3275016,19.8187000,5.04
76,41.3274918,19.8186915,5.12
77,41.3275247,19.8187135,4.90
78,41.3274947,19.8186996,4.94
79,41.3275063,19.8187249,5.18
80,41.3274955,19.8187218,5.27
81,41.3275295,19.8186683,5.03
82,41.3274950,19.8186874,5.76
83,41.3275104,19.8186683,5.33
84,41.3275229,19.8187072,5.41
85,41.3275089,19.8187141,5.23
86,41.3275114,19.8187083,5.63
87,41.3274926,19.8187198,5.05
88,41.3274653,19.8187152,5.06
89,41.3275153,19.8187528,5.09
90,41.3274794,19.8186852,5.44
91,41.3275051,19.8187030,4.98
92,41.3274750,19.8186844,5.21
93,41.3274948,19.8187036,5.08
94,41.3274928,19.8187541,5.00
95,41.3275230,19.8187440,6.47
96,41.3275019,19.8186862,5.09
97,41.3274905,19.8187757,5.12
98,41.3275173,19.8187254,5.35
99,41.3274780,19.8187183,5.26
100,41.3275042,19.8186781,5.35
101,41.3274870,19.8186623,5.29
102,41.3275000,19.8187102,4.91
103,41.3275020,19.8187086,5.81
104,41.3275204,19.8187012,5.36
105,41.3275301,19.8187363,5.78
106,41.3275358,19.8186545,5.24
107,41.3275172,19.8187016,5.14
108,41.3275023,19.8187020,5.99
109,41.3274916,19.8187221,4.91
110,41.3274992,19.8187312,5.21
111,41.3275205,19.8187091,5.66
112,41.3274862,19.8187184,5.19
113,41.3275154,19.8187488,5.88
114,41.3275097,19.8187553,5.18
115,41.3274862,19.8186973,5.04
116,41.3274936,19.8187037,4.98
117,41.3274942,19.8187330,5.81
118,41.3274915,19.8187058,5.16
119,41.3275020,19.8187383,5.32
120,41.3274717,19.8186617,5.32
121,41.3274860,19.8187095,4.94
122,41.3275112,19.8187019,5.36
123,41.3275077,19.8187312,5.86
124,41.3274856,19.8187021,4.97
125,41.3275254,19.8186769,5.16
126,41.3275030,19.8186967,5.06
127,41.3274817,19.8187079,5.20
128,41.3274656,19.8187167,5.51
129,41.3274868,19.8187549,5.06
130,41.3274993,19.8187349,5.01
131,41.3275167,19.8186948,5.20
132,41.3275020,19.8186886,5.37
133,41.3275043,19.8186810,5.57
134,41.3274807,19.8186720,5.12
135,41.3275061,19.8186748,5.33
136,41.3275036,19.8187219,4.92
137,41.3275121,19.8186799,5.63
138,41.3274851,19.8187480,4.97
139,41.3274908,19.8186761,5.76
140,41.3275101,19.8186805,5.52
141,41.3274794,19.8186615,4.98
142,41.3274994,19.8187260,5.43
143,41.3275035,19.8187400,5.28
144,41.3275011,19.8186921,5.21
145,41.3274949,19.8187479,6.04
146,41.3274817,19.8187068,4.96
147,41.3274943,19.8187132,5.32
148,41.3274985,19.8187203,5.18
149,41.3274984,19.8186752,5.31
150,41.3274909,19.8187290,5.76
151,41.3275140,19.8186894,4.95
152,41.3274914,19.8187040,5.71
153,41.3274698,19.8187137,4.94
154,41.3274910,19.8187150,5.10
155,41.3275260,19.8187036,5.40
156,41.3275034,19.8187532,5.05
157,41.3274857,19.8187211,4.98
158,41.3274873,19.8187040,5.03
159,41.3274734,19.8186974,5.28
160,41.3275033,19.8187595,5.00
161,41.3274843,19.8186972,5.07
162,41.3274822,19.8187263,5.03
163,41.3275069,19.8187215,5.57
164,41.3275249,19.8187141,5.01
165,41.3274976,19.8187303,4.94
166,41.3275073,19.8187259,5.36
167,41.3275053,19.8187071,5.90
