time,Bx_uT,By_uT,Bz_uT
0,19.812,-5.967,42.632
1,19.904,-6.541,43.006
2,20.582,-6.678,43.046
3,20.272,-6.420,42.706
4,20.186,-6.552,43.251
5,20.126,-6.611,43.502
6,20.119,-5.992,43.233
7,19.921,-5.936,43.132
8,20.412,-6.007,43.311
9,20.371,-5.874,42.781
10,19.014,-5.821,42.591
11,19.988,-6.130,43.478
12,19.917,-6.024,43.493
13,20.059,-5.786,43.203
14,20.461,-6.396,43.214
15,20.258,-5.711,43.060
16,20.141,-5.847,43.077
17,20.542,-6.518,42.684
18,20.050,-6.072,42.841
19,19.290,-5.347,43.029
20,19.924,-6.148,43.950
21,19.687,-6.338,42.362
22,19.833,-7.128,42.596
23,20.207,-5.411,42.714
24,20.565,-5.926,43.120
25,19.760,-4.909,42.901
26,20.154,-6.352,42.750
27,20.153,-5.837,42.844
28,19.407,-6.559,43.831
29,20.564,-6.478,42.918
30,19.548,-6.229,42.916
31,19.797,-6.405,42.410
32,20.569,-6.489,42.883
33,20.261,-6.321,43.363
34,19.240,-6.508,41.905
35,19.642,-5.554,42.494
36,20.524,-5.637,43.024
37,20.144,-5.552,42.725
38,20.957,-6.593,42.580
39,20.044,-6.263,42.649
40,19.942,-5.942,42.844
41,19.419,-5.689,42.343
42,20.463,-5.745,43.165
43,19.487,-5.461,43.583
44,19.881,-5.998,43.027
45,19.600,-6.531,42.139
46,19.623,-6.076,43.268
47,20.440,-6.041,42.927
48,19.527,-5.705,42.834
49,20.130,-6.050,42.843
50,20.636,-5.993,42.761
51,19.808,-5.943,43.091
52,20.235,-6.186,42.744
53,20.101,-5.841,42.825
54,19.656,-5.446,43.229
55,20.381,-6.014,42.482
56,20.196,-5.413,42.888
57,19.865,-5.850,42.544
58,19.722,-5.479,43.402
59,20.091,-5.586,42.166
60,20.651,-6.451,42.299
61,19.802,-5.434,42.672
62,19.561,-6.240,43.262
63,19.954,-6.173,42.915
64,19.961,-6.493,42.982
65,19.747,-6.369,42.568
66,20.719,-5.640,43.309
67,19.765,-6.213,43.284
68,19.959,-6.021,43.211
69,19.560,-6.378,43.182
70,19.962,-6.160,43.799
71,20.464,-5.918,42.597
72,20.333,-5.859,42.880
73,19.766,-5.477,43.064
74,20.080,-5.748,43.506
75,20.118,-6.657,42.680
76,20.339,-6.175,43.617
77,20.197,-5.234,42.418
78,19.994,-6.509,43.058
79,19.933,-6.706,42.779
80,19.582,-5.362,43.177
81,19.315,-5.855,43.287
82,20.109,-5.519,42.735
83,19.660,-6.345,43.009
84,19.598,-6.348,42.830
85,20.276,-6.142,42.649
86,19.676,-5.860,42.205
87,20.257,-5.596,42.844
88,20.159,-5.358,43.107
89,20.639,-5.822,42.920
90,20.047,-5.885,42.706
91,20.278,-6.397,43.255
92,19.665,-6.676,43.021
93,19.975,-6.056,43.176
94,20.078,-5.904,42.820
95,20.556,-6.531,42.339
96,20.012,-5.661,43.509
97,20.184,-6.323,42.790
98,20.303,-5.808,43.044
99,20.029,-5.002,43.269
100,19.862,-6.690,42.373
101,19.698,-5.568,43.260
102,19.602,-5.444,43.202
103,19.481,-5.848,42.554
104,20.062,-5.436,43.090
105,20.333,-5.515,43.284
106,20.224,-5.792,43.567
107,19.838,-5.871,43.194
108,20.426,-6.036,42.395
109,20.196,-6.290,43.118
110,20.066,-6.317,42.863
111,20.377,-5.120,42.772
112,20.029,-6.105,42.985
113,20.240,-5.389,43.642
114,19.850,-6.251,42.697
115,20.054,-6.028,42.949
116,20.570,-6.512,43.125
117,20.061,-6.241,42.451
118,19.719,-5.800,43.145
119,19.587,-6.160,43.356
120,20.106,-5.849,42.753
121,20.229,-5.589,43.227
122,20.256,-5.909,42.910
123,20.126,-6.059,42.832
124,19.793,-6.213,43.878
125,19.959,-5.938,43.029
126,19.883,-5.957,43.119
127,19.703,-6.706,43.038
128,19.597,-5.840,43.111
129,19.989,-5.186,42.489
130,20.655,-5.980,41.908
131,20.178,-5.828,43.139
132,20.429,-5.137,43.058
133,19.561,-6.828,43.211
134,19.962,-5.567,43.208
135,19.966,-6.051,43.548
136,19.646,-6.522,42.863
137,20.460,-6.424,43.241
138,18.841,-6.410,42.665
139,20.663,-5.561,42.500
140,19.999,-6.096,42.690
141,20.469,-5.355,42.735
142,20.296,-5.620,43.119
143,19.642,-6.058,43.319
144,19.899,-5.733,43.187
145,19.084,-5.797,43.190
146,19.698,-5.968,42.281
147,19.447,-5.645,43.246
148,19.572,-6.067,42.712
149,20.352,-6.710,43.392
150,19.677,-6.024,42.991
151,20.376,-6.055,42.909
152,19.664,-5.905,42.979
153,20.423,-5.483,43.602
154,19.706,-5.923,43.144
155,19.946,-6.272,42.643
156,20.570,-5.870,42.681
157,19.695,-6.963,42.797
158,19.758,-5.882,42.986
159,19.885,-6.049,43.550
160,19.814,-5.814,42.916
161,20.537,-6.062,42.135
162,19.561,-6.389,42.158
163,19.691,-5.885,42.608
164,20.538,-6.220,43.040
165,19.625,-5.543,43.184
166,19.673,-6.257,42.253
167,20.226,-5.651,43.407
168,19.831,-6.352,42.719
169,20.562,-6.588,42.703
170,20.326,-5.506,42.976
171,20.392,-5.941,43.050
172,19.696,-5.818,43.757
173,19.896,-5.423,42.799
174,20.363,-6.506,43.237
175,19.866,-6.225,43.622
176,20.126,-6.241,43.014
177,20.628,-5.851,42.478
178,20.534,-5.788,43.485
179,19.917,-6.186,43.118
180,19.524,-6.050,42.284
181,19.800,-6.799,43.000
182,19.629,-6.072,43.273
183,19.429,-5.641,42.483
184,20.710,-5.197,42.650
185,19.894,-5.994,42.833
186,19.750,-5.406,43.626
187,19.939,-5.460,42.815
188,20.016,-6.047,42.834
189,19.136,-5.826,43.141
190,20.083,-6.621,42.884
191,19.525,-6.550,43.093
192,20.407,-5.936,42.665
193,19.173,-6.284,43.064
194,19.911,-6.202,42.879
195,19.493,-6.556,42.571
196,19.618,-6.222,42.891
197,19.449,-6.644,43.498
198,19.663,-6.298,43.200
199,20.110,-6.138,42.684
200,19.300,-5.162,43.051
201,20.390,-5.889,43.029
202,19.927,-5.550,42.667
203,20.349,-5.783,42.685
204,20.292,-5.155,43.098
205,20.491,-5.519,44.087
206,19.442,-5.941,43.391
207,20.646,-6.369,43.312
208,20.435,-5.952,43.697
209,19.683,-5.880,42.340
210,19.971,-5.959,43.298
211,19.692,-5.691,43.036
212,19.701,-6.122,43.175
213,18.912,-6.465,43.616
214,20.185,-5.720,42.788
215,19.500,-5.313,42.807
216,20.308,-6.095,42.976
217,20.503,-5.837,43.337
218,20.292,-6.289,43.312
219,19.725,-6.151,43.044
220,19.560,-4.996,42.323
221,19.112,-6.662,42.581
222,20.132,-6.148,42.562
223,19.164,-6.763,42.690
224,19.734,-5.674,43.858
225,20.140,-5.735,42.339
226,20.982,-5.679,43.108
227,19.503,-5.519,43.073
228,19.755,-6.134,43.105
229,20.434,-6.413,43.235
230,20.514,-6.118,42.870
231,19.900,-6.353,42.331
232,19.958,-6.417,42.958
233,19.851,-5.564,43.257
234,19.433,-5.826,42.224
235,20.161,-5.460,42.392
236,19.682,-6.519,43.758
237,20.818,-6.245,43.180
238,20.072,-5.310,42.832
239,19.979,-5.586,43.064
240,20.247,-6.279,43.567
241,20.409,-6.362,42.527
242,20.452,-5.997,43.041
243,20.380,-6.727,43.082
244,20.077,-6.194,42.511
245,19.907,-5.511,43.509
246,19.256,-6.603,43.412
247,20.057,-6.138,43.014
248,20.035,-6.422,43.100
249,20.071,-5.623,42.949
250,19.788,-5.410,42.649
251,19.800,-5.699,42.851
252,19.485,-6.103,42.478
253,20.323,-6.675,42.302
254,20.142,-6.872,43.224
255,20.057,-6.459,43.584
256,20.067,-6.183,43.042
257,19.934,-6.021,42.970
258,20.350,-5.724,42.837
259,19.667,-5.254,42.949
260,20.300,-5.605,43.275
261,20.606,-5.692,42.752
262,19.961,-5.691,43.546
263,20.795,-6.733,43.192
264,20.153,-6.555,43.478
265,19.418,-6.028,42.911
266,19.895,-6.331,43.271
267,20.012,-6.074,43.789
268,19.998,-6.225,43.246
269,19.857,-6.248,43.368
270,19.938,-5.049,42.714
271,20.054,-6.062,42.527
272,19.604,-5.226,43.161
273,20.344,-6.076,42.888
274,20.237,-6.079,42.032
275,20.557,-5.646,43.012
276,19.769,-6.348,43.558
277,19.882,-6.709,42.320
278,20.398,-5.714,43.576
279,20.181,-5.887,42.431
280,19.513,-5.894,43.447
281,20.418,-5.864,42.842
282,19.523,-6.291,43.006
283,19.692,-5.894,42.844
284,19.549,-5.749,42.483
285,20.021,-5.592,42.329
286,20.350,-5.519,42.654
287,20.000,-5.683,42.266
288,19.798,-5.517,42.426
289,20.922,-5.679,43.541
290,20.390,-6.536,42.405
291,19.976,-5.858,43.392
292,20.168,-6.804,43.588
293,20.256,-5.795,43.391
294,20.061,-6.053,43.337
295,20.198,-6.067,42.936
296,19.200,-5.243,42.659
297,20.364,-6.967,43.056
298,20.586,-6.231,42.357
299,20.514,-6.072,43.141
